"","TownName","ratio","year"
"1029","southampton",0,2012
"1030","southborough",0,2012
"1031","templeton",0,2012
"1032","tisbury",0,2012
"1033","tolland",0,2012
"1034","walpole",0,2012
"1035","waltham",0,2012
"1036","warren",0,2012
"1037","watertown",0,2012
"1038","wayland",0,2012
"1039","webster",0,2012
"1040","wellesley",0,2012
"1041","wendell",0,2012
"1042","topsfield",0,2012
"1043","west stockbridge",0,2012
"1044","westborough",0,2012
"1045","westport",0,2012
"1046","wales",0,2012
"1047","salem",0,2012
"1048","salisbury",0,2012
"1049","wilbraham",0,2012
"1050","wilmington",0,2012
"1051","winthrop",0,2012
"1052","woburn",0,2012
"1053","worthington",0,2012
"1054","petersham",0,2013
"1055","plainville",0,2013
"1056","quincy",0,2013
"1057","rockland",0,2013
"1058","scituate",0,2013
"1059","spencer",0,2013
"1060","tyringham",0,2013
"1061","otis",0,2013
"1062","sheffield",0,2013
"1063","northborough",0,2013
"1064","westhampton",0,2013
"1065","ware",0,2013
"1066","wareham",0,2013
"1067","washington",0,2013
"1068","wenham",0,2013
"1069","west boylston",0,2013
"1070","west bridgewater",0,2013
"1071","westford",0,2013
"1072","whitman",0,2013
"1073","williamsburg",0,2013
"1074","yarmouth",0,2013
"1075","west brookfield",0,2013
"1076","winchester",0,2013
"1077","beverly",0,2013
"1078","billerica",0,2013
"1079","boxford",0,2013
"1080","boylston",0,2013
"1081","adams",0,2013
"1082","alford",0,2013
"1083","amherst",0,2013
"1084","ashburnham",0,2013
"1085","ashby",0,2013
"1086","auburn",0,2013
"1087","avon",0,2013
"1088","barre",0,2013
"1089","belchertown",0,2013
"1090","berlin",0,2013
"1091","bernardston",0,2013
"1092","blandford",0,2013
"1093","bolton",0,2013
"1094","bourne",0,2013
"1095","boxborough",0,2013
"1096","brockton",0,2013
"1097","burlington",0,2013
"1098","chatham",0,2013
"1099","cheshire",0,2013
"1100","chester",0,2013
"1101","clarksburg",0,2013
"1102","dartmouth",0,2013
"1103","dennis",0,2013
"1104","douglas",0,2013
"1105","ashfield",0,2013
"1106","acton",0,2013
"1107","attleboro",0,2013
"1108","barnstable",0,2013
"1109","blackstone",0,2013
"1110","boston",0,2013
"1111","charlton",0,2013
"1112","clinton",0,2013
"1113","cummington",0,2013
"1114","duxbury",0,2013
"1115","eastham",0,2013
"1116","essex",0,2013
"1117","dunstable",0,2013
"1118","everett",0,2013
