"","Year","Name","Event","Type","County","Formofgovernment","Population","FormYear","T21Date","FIPS","State","No_PrematureDeaths","YearsofPotentialLifeLostRate","Percent_FairOrPoor","PhysicallyUnhealthyDays","MentallyUnhealthyDays","PrecentLBW","PercentSmokers","PercentObese","FoodEnvironmentIndex","PercentPhysicallyInactive","PercentWithAccessToExercise","PercentExcessiveDrinking","NumberChlamydiaCases","ChlamydiaRate","TeenBirths","TeenBirthRate","PercentUninsured","NumberMedicareEnrollees","PercentDiabetics","PercentReceivingHbA1c","PercentUnemployed","PercentChildreninPoverty","PercentSingle-ParentHouseholds","NumberViolentCrimes","ViolentCrimeRate","T21year","MAYOR","LENGTHOFTERM","NEXTELECTION","mayor_ind","NearbyT21Ratio"
"47",2011,"Amherst","0","Town","Hampshire","Representative town meeting",37819,1775,"2015-08-15","25015","Massachusetts",1236,4907.1,10.4,3.5,3.1,6.35,14.7,21.3,NA,NA,NA,18.4,NA,NA,438,6.9,9.7,32125,513,88.694,6.6,10.1,25.1,1177,254.8,2015,NA,NA,NA,0,0
"48",2012,"Amherst","0","Town","Hampshire","Representative town meeting",37819,1775,"2015-08-15","25015","Massachusetts",1260,5078.42,9.7,3.3,2.8,6.3,13.5,22.3,NA,17.1,NA,17.7,274,176.8,433,6.9,3.9,15964,1366,87.8477306,6.9,11.8,27.047547453,1167,253.83139679,2015,NA,NA,NA,0,0
"49",2013,"Amherst","0","Town","Hampshire","Representative town meeting",37819,1775,"2015-08-15","25015","Massachusetts",1256,4923.87,9.7,3.2,2.7,6.7,12.6,22.3,NA,17.1,NA,17.9,320,202.4,392,5.8021639703,4.8,15955,1344,90.178571429,5.9,12.3,28.958673916,388,251.01990291,2015,NA,NA,NA,0,0
"50",2014,"Amherst","0","Town","Hampshire","Representative town meeting",37819,1775,"2015-08-15","25015","Massachusetts",1256,4923.87,10,3.3,2.9,6.5,12.1,22.4,8.671357361,17.1,71.005819838,19.7,395,250.3,369,5.4491486628,4.7171977447,16592,1386,90.18759019,5.6084875265,12.7,28.884670515,382,244.06450459,2015,NA,NA,NA,0,0
"51",2015,"Amherst","1","Town","Hampshire","Representative town meeting",37819,1775,"2015-08-15","25015","Massachusetts",1210,4652.16,10,3.3,2.9,6.154410865,12.1,21.8,8.3,15.2,85.928643725,19.7,366,229,339,4.9760007046,4.2848697232,17265,1395,89.103942652,6.0659425559,12.1,30.256430426,385,245.34482099,2015,NA,NA,NA,0,0.3
"52",2011,"Andover","0","Town","Essex","Open town meeting",33201,1646,"2015-02-01","25009","Massachusetts",6527,5591,13.3,3.2,3.2,7.66,16.9,23.4,NA,NA,NA,19.2,NA,NA,4372,25.5,8.8,158426,2524,86.3708,9,11.8,30.2,8176,371.3,2015,NA,NA,NA,0,0
"53",2012,"Andover","0","Town","Essex","Open town meeting",33201,1646,"2015-02-01","25009","Massachusetts",6421,5353.96,13.4,3.1,3.2,7.8,16.4,23.6,NA,22.3,NA,19.3,2256,306.3,4306,25.8,4.8,78396,6778,86.85452936,8.9,14.5,31.110802346,7925,357.03248117,2015,NA,NA,NA,0,0
"54",2013,"Andover","0","Town","Essex","Open town meeting",33201,1646,"2015-02-01","25009","Massachusetts",6262,5062.28,13.3,3.1,3.1,7.7,15,23.6,NA,22.3,NA,19.3,2312,311.1,4299,24.172870606,5.5,79986,7037,88.887309933,7.8,16.9,31.600784286,2623,353.12398062,2015,NA,NA,NA,0,0
"55",2014,"Andover","0","Town","Essex","Open town meeting",33201,1646,"2015-02-01","25009","Massachusetts",6262,5062.28,13,3,3.2,7.6,14.1,23.5,8.6893315931,21.6,91.987851859,19.4,2469,329.7,4156,23.260369502,5.4333729687,84440,7605,89.21761999,7.1352123652,17.1,31.958980369,2684.3333333,359.8075367,2015,NA,NA,NA,0,0
"56",2015,"Andover","1","Town","Essex","Open town meeting",33201,1646,"2015-02-01","25009","Massachusetts",6450,5035.77,13,3,3.2,7.6378112138,14.1,24.2,8.5,20.3,96.711470897,19.4,2709,358.5,4009,22.401779178,4.8491653685,86259,7888,89.148073022,7.4639212686,16.9,33.364384595,2772,370.18571607,2015,NA,NA,NA,0,0.4
"57",2011,"Aquinnah","0","Town","Dukes","Open town meeting",311,1870,NA,"25007","Massachusetts",136,5053.1,7.1,3.3,3.2,4.82,15.6,18.4,NA,NA,NA,26.5,NA,NA,38,12.6,16.9,4904,85,92.9412,6.6,11.3,28.9,63,134.9,NA,NA,NA,NA,0,0
"58",2012,"Aquinnah","0","Town","Dukes","Open town meeting",311,1870,NA,"25007","Massachusetts",145,4922.1,6.5,2.7,3.1,4.9,16.2,18.8,NA,19.1,NA,29,19,122.4,35,11.8,6.4,2690,197,81.725888325,7.7,11.9,26.412698413,64,136.23978202,NA,NA,NA,NA,0,0
"59",2013,"Aquinnah","0","Town","Dukes","Open town meeting",311,1870,NA,"25007","Massachusetts",136,4328.04,8.7,3.7,3.4,5.3,14.9,18.8,NA,19.1,NA,27.7,17,102.8,32,10.28277635,8.3,3025,209,86.124401914,7.3,13.8,28.673323823,34,217.05102786,NA,NA,NA,NA,0,0
"60",2014,"Aquinnah","0","Town","Dukes","Open town meeting",311,1870,NA,"25007","Massachusetts",136,4328.04,NA,3.5,3.5,5,12.1,19.6,9.0263601252,20.3,78.996068945,26.3,38,226.6,31,10.143979058,7.329201499,3185,237,82.70042194,6.9009858551,13.5,31.746031746,39.666666667,243.22446143,NA,NA,NA,NA,0,0
"61",2015,"Aquinnah","0","Town","Dukes","Open town meeting",311,1870,NA,"25007","Massachusetts",137,4151.61,NA,3.5,3.5,5.4693877551,12.1,22.4,8.7,18.5,81.77199879,26.3,41,240.6,31,10.316139767,5.862887562,3405,243,89.711934156,7.3185160145,13.4,30.082592122,39.333333333,235.59477698,NA,NA,NA,NA,0,0
"62",2016,"Aquinnah","0","Town","Dukes","Open town meeting",311,1870,NA,"25007","Massachusetts",145,4294.5,12.1,3.2,3.9,5.742411813,14.6,21.6,8.4,20,80.411248866,20.1,24,140.83680535,25,8.4745762712,5.8891205868,3621,261,86.590038314,7.8410539737,13.4,33.892405063,39.333333333,235.59477698,NA,NA,NA,NA,0,0.1
"63",2017,"Aquinnah","0","Town","Dukes","Open town meeting",311,1870,NA,"25007","Massachusetts",141,4018.5,12.010883585,3.4023343891,3.9458101686,5.8873720137,14.88625646,22,8.2,17.7,80.411248866,18.971859852,13,75.3,19,6.5247252747,4.7229856792,3599,278,87.769784173,6.8610634648,13.4,37.690839695,31.5,209.59478342,NA,NA,NA,NA,0,0.1
"64",2011,"Arlington","0","Town","Middlesex","Representative town meeting",42844,1807,"2015-07-21","25017","Massachusetts",11206,4524.4,9.7,2.8,2.8,7.32,13.4,22.1,NA,NA,NA,18,NA,NA,4133,12.6,9.9,264855,4000,87.15,7.1,8.3,20.8,11031,249.1,2015,NA,NA,NA,0,0
"65",2012,"Arlington","0","Town","Middlesex","Representative town meeting",42844,1807,"2015-07-21","25017","Massachusetts",10885,4320.15,9.5,2.7,2.7,7.4,12.5,23.1,NA,21.1,NA,17.6,2562,172.8,4157,13,4.6,133633,10819,87.170718181,7,8.5,21.023875057,11724,263.87623475,2015,NA,NA,NA,0,0
"66",2013,"Arlington","0","Town","Middlesex","Representative town meeting",42844,1807,"2015-07-21","25017","Massachusetts",10899,4330.73,9.2,2.7,2.6,7.5,12.1,23.1,NA,21.1,NA,18,2778,184.8,4086,12.180943352,4.5,135688,11042,89.14145988,5.9,9.3,20.926310082,4242,284.102451,2015,NA,NA,NA,0,0
"67",2014,"Arlington","0","Town","Middlesex","Representative town meeting",42844,1807,"2015-07-21","25017","Massachusetts",10899,4330.73,8.9,2.7,2.7,7.5,11.4,23.3,9.1148955101,21.8,94.834556928,18.1,3396,223.7,3969,11.754914911,4.4632197847,142890,11733,89.59345436,5.3173677242,9.5,20.724166347,4122.6666667,277.72457169,2015,NA,NA,NA,0,0.1
"68",2015,"Arlington","1","Town","Middlesex","Representative town meeting",42844,1807,"2015-07-21","25017","Massachusetts",11119,4156.69,8.9,2.7,2.7,7.4975633918,11.4,23.1,8.9,20.8,96.407721453,18.1,3634,236.4,3825,11.243088807,4.0404229175,147540,12117,89.06495007,5.6376917719,10.6,21.029600706,3797.3333333,257.33734459,2015,NA,NA,NA,0,0.6
"69",2011,"Ashburnham","0","Town","Worcester","Open town meeting",6081,1765,NA,"25027","Massachusetts",7136,5900.4,12.8,3.5,3.5,7.26,20.1,24.3,NA,NA,NA,19.9,NA,NA,4589,24.3,8.5,102813,1669,85.7999,9.2,10.2,26.9,10257,434.6,NA,NA,NA,NA,0,0
