"","CityTown","Nearby T21 Ratio","year"
"594","Mattapoisett",0.01,2006
"595","Merrimac",0.008,2006
"596","Middleborough",0.006,2006
"597","Middlefield",0,2006
"598","Millbury",0.004,2006
"599","Millville",0.005,2006
"600","Monroe",0,2006
"601","Monson",0,2006
"602","Monterey",0,2006
"603","Montgomery",0,2006
"604","Mount Washington",0,2006
"605","Nahant",0.005,2006
"606","Nantucket",0,2006
"607","New Ashford",0,2006
"608","New Bedford",0.01,2006
"609","New Braintree",0.005,2006
"610","New Marlborough",0,2006
"611","New Salem",0,2006
"612","Newbury",0.007,2006
"613","Newburyport",0.008,2006
"614","North Brookfield",0.005,2006
"615","Northbridge",0.004,2006
"616","Northfield",0,2006
"617","Norton",0.005,2006
"618","Oak Bluffs",0,2006
"619","Oakham",0.005,2006
"620","Orange",0,2006
"621","Otis",0,2006
"622","Oxford",0.005,2006
"623","Palmer",0,2006
"624","Paxton",0.005,2006
"625","Pelham",0,2006
"626","Pembroke",0.005,2006
"627","Pepperell",0.005,2006
"628","Peru",0,2006
"629","Petersham",0,2006
"630","Phillipston",0.006,2006
"631","Plainfield",0,2006
"632","Plymouth",0.006,2006
"633","Plympton",0.006,2006
"634","Princeton",0.005,2006
"635","Quincy",0.005,2006
"636","Raynham",0.005,2006
"637","Rehoboth",0.006,2006
"638","Revere",0.005,2006
"639","Richmond",0,2006
"640","Rochester",0.008,2006
"641","Rockland",0.005,2006
"642","Rowe",0,2006
"643","Rowley",0.007,2006
"644","Royalston",0,2006
"645","Russell",0,2006
"646","Rutland",0.005,2006
"647","Salisbury",0.009,2006
"648","Sandisfield",0,2006
"649","Sandwich",0,2006
"650","Savoy",0,2006
"651","Seekonk",0.006,2006
"652","Sheffield",0,2006
"653","Shirley",0.005,2006
"654","Shrewsbury",0.004,2006
"655","Shutesbury",0,2006
"656","Somerset",0.007,2006
"657","Southbridge",0.006,2006
"658","Spencer",0.005,2006
"659","Springfield",0,2006
"660","Sterling",0.004,2006
"661","Stow",0.004,2006
"662","Sturbridge",0.006,2006
"663","Sudbury",0.004,2006
"664","Sutton",0.005,2006
"665","Swansea",0.007,2006
"666","Taunton",0.006,2006
"667","Templeton",0.005,2006
"668","Tisbury",0,2006
"669","Tolland",0,2006
"670","Truro",0,2006
"671","Tyringham",0,2006
"672","Upton",0.004,2006
"673","Uxbridge",0.005,2006
"674","Wales",0,2006
"675","Ware",0,2006
"676","Warren",0.006,2006
"677","Warwick",0,2006
"678","Washington",0,2006
"679","Webster",0.005,2006
"680","Wellfleet",0,2006
"681","Wendell",0,2006
"682","Wenham",0.006,2006
"683","West Boylston",0.004,2006
"684","West Bridgewater",0.005,2006
"685","West Brookfield",0.005,2006
"686","West Newbury",0.007,2006
"687","West Springfield",0,2006
"688","West Stockbridge",0,2006
"689","West Tisbury",0,2006
"690","Westborough",0.004,2006
"691","Westhampton",0,2006
"692","Westminster",0.005,2006
"693","Westport",0.01,2006
"694","Weymouth",0.005,2006
"695","Wilbraham",0,2006
"696","Williamsburg",0,2006
"697","Winchendon",0.006,2006
"698","Windsor",0,2006
"699","Winthrop",0.005,2006
"700","Woburn",0.005,2006
"701","Worthington",0,2006
"702","Wrentham",0.005,2006
"703","Acton",0.005,2007
"704","Adams",0,2007
"705","Amherst",0,2007
"706","Andover",0.006,2007
"707","Arlington",0.005,2007
"708","Ashland",0.004,2007
"709","Attleboro",0.005,2007
"710","Belchertown",0,2007
"711","Belmont",0.005,2007
"712","Blackstone",0.005,2007
"713","Boston",0.005,2007
"714","Braintree",0.005,2007
"715","Brewster",0,2007
"716","Bridgewater",0.005,2007
"717","Brimfield",0,2007
"718","Brockton",0.005,2007
"719","Brookline",0.005,2007
"720","Buckland",0,2007
"721","Cambridge",0.005,2007
"722","Canton",0.005,2007
"723","Carver",0.007,2007
"724","Charlemont",0,2007
"725","Chelmsford",0.005,2007
"726","Chelsea",0.005,2007
"727","Cohasset",0.005,2007
"728","Concord",0.005,2007
"729","Danvers",0.006,2007
"730","Dedham",0.005,2007
"731","Deerfield",0,2007
"732","Dover",0.004,2007
"733","Duxbury",0.006,2007
"734","Eastham",0,2007
"735","Easton",0.005,2007
"736","Egremont",0,2007
"737","Essex",0.007,2007
"738","Falmouth",0,2007
"739","Foxborough",0.005,2007
"740","Framingham",0.004,2007
"741","Franklin",0.005,2007
"742","Gill",0,2007
"743","Gloucester",0.007,2007
"744","Grafton",0.004,2007
